Horodateur,À quelle tranche d'âge appartenez-vous ?,"Vous arrive-t-il de partir en vacances / en week-end en groupe (famille, amis) ?","Si oui, à quelle fréquence ? ",En moyenne combien d'adultes participent au voyage (vous inclus.e) ?,Lors d'un voyage ...,"Pour organiser vos voyages, quels outils utilisez-vous ? ",Quelle(s) application(s) dédiée(s) ?,"Pour gérer vos courses durant les voyages, qu'utilisez-vous ?",Quelle(s) application(s) dédiée(s) ?,Seriez-vous intéressé.e par une application centralisant toute l'organisation de vos voyages ou pas ?,Qu'aimeriez-vous pouvoir faire sur une telle application ?
13/04/2023 16:16:46,Entre 18 et 25 ans,Oui,Un à deux fois par an,"1 à 2, Entre 2 et 5, Plus de 5",je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger), Application d'agenda (Google Agenda, Calendar, etc...)",,Application de prise de notes,,"Oui, je suis intéressé.e",TripLife :)
13/04/2023 16:20:02,Entre 26 et 35 ans,Oui,Plus de deux fois par an,Entre 2 et 5,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger), Application d'agenda (Google Agenda, Calendar, etc...), Fichier excel, Application dédiée","Tricount, booking, airbnb","Application de prise de notes, Application dédiée",Tricount again,"Oui, je suis intéressé.e",
13/04/2023 16:22:34,Entre 18 et 25 ans,Oui,Plus de deux fois par an,Entre 2 et 5,je laisse les gens planifier à ma place.,"Application d'agenda (Google Agenda, Calendar, etc...), Google map avec projets de voyage",Google map avec projets de voyage,Papier crayon,Papier crayon,"Non, ça ne m'intéresse pas.","Répertorié avec tous les outils du quotidien type google pour retracer mes voyages facilement. 

Possibilité de retrouver des plans de voyage avec des organisation et pourquoi pas des adresses d'airbnb hotel a prix intéressants. Un peu un instagram avec de bonne adresse quoi "
13/04/2023 16:27:25,Entre 18 et 25 ans,Oui,Plus de deux fois par an,Entre 2 et 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Non, ça ne m'intéresse pas.",
13/04/2023 16:28:40,Entre 26 et 35 ans,Oui,Un à deux fois par an,1 à 2,je planifie tout en avance.,"Application d'agenda (Google Agenda, Calendar, etc...), Application dédiée",Google Keep,Application dédiée,Bring!,"Oui, je suis intéressé.e","Partager des budgets, organiser des sorties"
13/04/2023 16:29:23,Entre 18 et 25 ans,Oui,Un à deux fois par an,Plus de 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger), Fichier excel",,"Papier crayon, Application dédiée",L'app rappels sur Iphone,"Oui, je suis intéressé.e","Planning activités et repas, dépenses collectives, messagerie, notes, listes de courses, liste de choses à ne pas oublier pour le voyage, etc."
13/04/2023 16:32:21,Entre 26 et 35 ans,Oui,Moins d'une fois par an,Entre 2 et 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",,Application dédiée,Bring! et tricount,"Non, ça ne m'intéresse pas.",
13/04/2023 16:34:36,Entre 26 et 35 ans,Non,,1 à 2,je planifie tout en avance.,"Application d'agenda (Google Agenda, Calendar, etc...)",Google agenda ,Application de prise de notes,Note keep,"Oui, je suis intéressé.e","Les activité a faire dans la zone de vacances (mettre un nb de km autour d'une zone)
Les points d'intérêts dans la zone
Des anecdotes sur la zone de vacances
Prise de note
Rappel d'horaire de visite (selon sélection)"
13/04/2023 16:36:25,Entre 18 et 25 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger), Application d'agenda (Google Agenda, Calendar, etc...)",,Application dédiée,Tricount ,"Oui, je suis intéressé.e","Avoir un système de mise en avant des messages (pin discord ?)
Possibilité de faire des polls dans l'appli (aprem piscine ou plage ?)
Payer un café aux développeurs (ils sont vraiment trop beaux)"
13/04/2023 16:36:39,Entre 26 et 35 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Non, ça ne m'intéresse pas.",
13/04/2023 16:37:31,Entre 18 et 25 ans,Oui,Un à deux fois par an,1 à 2,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger)",,Application dédiée,tricount,"Oui, je suis intéressé.e",faire facilement des itinéraires 
13/04/2023 16:39:49,Entre 26 et 35 ans,Non,Moins d'une fois par an,1 à 2,je planifie au dernier moment.,"Un carnet, un guide du routard. Komoot pour les voyages a velo",komoot.com pour les voyages en bikepacking,Application dédiée,Tricount,"Oui, je suis intéressé.e","- Centré sur le bikepacking haha, qu'a chaque point d'arrivée on me propose une suggestion de lieux ou je puisse dormir a moindre distance, et adapter le tracé en fonction de cela.
- Un suivi des dépenses centralisé ca serait chouette chouette, avec potentiellement du scan de justificatif de paiement pour faire la saisie avec une photo. (Quonto / Payfit font ça plus ou moins)
- Des suggestions sur quoi faire quand je planifie mon voyage en fonction de mes affinités
- Un mode mon cher journal pour prendre des notes publiques ou privees a chaque etape. Comme ca ca genere un peu un blog sans trop de prise de tete pour que les gens que ca interessent puissent me suivre.

Voilaaaaa"
13/04/2023 16:41:09,Entre 18 et 25 ans,Oui,Un à deux fois par an,Entre 2 et 5,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Oui, je suis intéressé.e",Organiser super facilement mes vacances sans prise de tête 
13/04/2023 16:43:00,Entre 26 et 35 ans,Oui,Plus de deux fois par an,1 à 2,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger), Fichier excel",,Application de prise de notes,,"Oui, je suis intéressé.e","Prévision des visites / planning, gestion des comptes et calcul du partage final"
13/04/2023 16:49:47,Entre 26 et 35 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger), Application d'agenda (Google Agenda, Calendar, etc...), Fichier excel",Excel ou google docs,Papier crayon,,"Oui, je suis intéressé.e","- comptes partagés 
- liste de taches partagées avec sous taches (genre courses)
- planification de date et heure ala Doodle"
13/04/2023 16:49:52,Entre 18 et 25 ans,Oui,Plus de deux fois par an,1 à 2,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger), Fichier excel",Tricount,Application de prise de notes,,"Oui, je suis intéressé.e",
13/04/2023 16:53:26,Entre 18 et 25 ans,Oui,Un à deux fois par an,Entre 2 et 5,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Oui, je suis intéressé.e","Calendrier pour rentrer le programme du voyage, un espace pour regrouper les réservations, système tricount pour séparer les frais"
13/04/2023 16:53:51,Entre 18 et 25 ans,Oui,Un à deux fois par an,Plus de 5,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger), Application dédiée",Tricount,Application de prise de notes,,"Oui, je suis intéressé.e",Mieux organiser les voyages à plusieurs 
13/04/2023 16:53:57,Entre 18 et 25 ans,Oui,Plus de deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Oui, je suis intéressé.e","Avoir l’hôtel, les billets de transports, répartition des depenses avec participants, les activités planifiées "
13/04/2023 16:54:40,Entre 18 et 25 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",Messenger,Application de prise de notes,Notes,"Non, ça ne m'intéresse pas.",
13/04/2023 16:56:08,Entre 36 et 45 ans,Oui,Moins d'une fois par an,Entre 2 et 5,je laisse les gens planifier à ma place.,"Application de messagerie (WhatsApp, Messenger), Fichier excel",,Application dédiée,Bring!,"Oui, je suis intéressé.e","Gérer le planning, les courses et les activitées"
13/04/2023 17:02:39,Entre 36 et 45 ans,Oui,Moins d'une fois par an,1 à 2,je planifie tout en avance.,Application dédiée,Mappy et Maps,Application dédiée,Bring,"Oui, je suis intéressé.e","Retrouver l'itinéraire, les restos, les marchés éventuellement, les sites à visiter, les magasins..."
13/04/2023 17:05:09,Entre 26 et 35 ans,Non,,,je planifie au dernier moment.,,,Papier crayon,,"Non, ça ne m'intéresse pas.",
13/04/2023 17:09:11,Entre 36 et 45 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",,Application dédiée,Bring! ,"Oui, je suis intéressé.e",Recherche de location. Que faire dans la ville. 
13/04/2023 17:11:54,Entre 26 et 35 ans,Oui,Un à deux fois par an,Plus de 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",Signal ,Pas de courses ,,"Non, ça ne m'intéresse pas.",Na
13/04/2023 17:16:13,Entre 18 et 25 ans,Oui,Moins d'une fois par an,Plus de 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",Whatsapp messenger,Application de prise de notes,Note,"Non, ça ne m'intéresse pas.",
13/04/2023 17:23:30,Entre 36 et 45 ans,Oui,Un à deux fois par an,1 à 2,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",,rien,,"Oui, je suis intéressé.e","que ca pointe ma position, calcul mon itinéraire, trace mon trajet et que je puisse annoter les lieux. Que ca soit plutôt un aide mémoire de mon voyage. Eventuellement relier avec mes photos. "
13/04/2023 17:24:11,Entre 26 et 35 ans,Oui,Plus de deux fois par an,Entre 2 et 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Non, ça ne m'intéresse pas.",
13/04/2023 17:46:44,Entre 26 et 35 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",,Papier crayon,,"Non, ça ne m'intéresse pas.",
13/04/2023 18:09:38,Entre 18 et 25 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger), Application d'agenda (Google Agenda, Calendar, etc...)",,Application de prise de notes,,"Oui, je suis intéressé.e",
13/04/2023 18:45:39,46 ans ou plus,Oui,Un à deux fois par an,1 à 2,je planifie tout en avance.,"Application d'agenda (Google Agenda, Calendar, etc...), Papier et crayon",,Papier crayon,,"Non, ça ne m'intéresse pas.",
13/04/2023 19:46:22,Entre 18 et 25 ans,Oui,Plus de deux fois par an,"1 à 2, Entre 2 et 5",je planifie au dernier moment.,Fichier excel,,Application de prise de notes,,"Oui, je suis intéressé.e","Une liste, du partage de lien internet et des comptes pour l’argent "
13/04/2023 19:54:46,Entre 18 et 25 ans,Oui,Moins d'une fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger)",,Application de prise de notes,,"Oui, je suis intéressé.e","Répertorier chaque catégorie d’organisation (courses,loisirs,dépenses…) pour un événement "
13/04/2023 20:29:18,Entre 26 et 35 ans,Oui,Plus de deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application d'agenda (Google Agenda, Calendar, etc...), Fichier excel, Site pour la répartition des budgets en pljs",,"Papier crayon, Application dédiée, Bring",Bring,"Oui, je suis intéressé.e","Gérer la répartition des budgets, les activités, les listes de courses, les menus, "
13/04/2023 20:39:09,Entre 26 et 35 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",,Application dédiée,Tricount,"Oui, je suis intéressé.e",Avoir les billets d'avion + location + itinéraire de voyage maps
13/04/2023 20:42:46,46 ans ou plus,Oui,Plus de deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger), Application dédiée",Framadate ,Application dédiée,Bons comptes entre amis,"Oui, je suis intéressé.e","Trouver les centres d’intérêts du lieu où on est, gérer les dépenses, planifier les visites "
13/04/2023 20:59:12,46 ans ou plus,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application de messagerie (WhatsApp, Messenger), Application d'agenda (Google Agenda, Calendar, etc...), Fichier excel",,"Papier crayon, Application dédiée",Bons Comptes entre amis,"Oui, je suis intéressé.e","Se mettre d’accord sur des dates, pouvoir voter pour choisir des activités ou des menus, gérer toutes les dépenses, "
13/04/2023 21:09:49,Entre 26 et 35 ans,Oui,Moins d'une fois par an,1 à 2,je planifie tout en avance.,"Application d'agenda (Google Agenda, Calendar, etc...)",,Application de prise de notes,,"Oui, je suis intéressé.e","Tout regrouper. Dates, activités, répartition du calcul des coûts si adulte hors famille, etc. "
13/04/2023 21:36:30,Entre 18 et 25 ans,Oui,Plus de deux fois par an,Plus de 5,je planifie au dernier moment.,"Application de messagerie (WhatsApp, Messenger)",,Application dédiée,Tricount ,"Oui, je suis intéressé.e","Avoir la gestion d'un historique avec tout regrouper (les tarifs, lieux de logements, trajets, budget, date, photos, ...)"
14/04/2023 10:36:14,Entre 18 et 25 ans,Oui,Un à deux fois par an,Entre 2 et 5,je planifie tout en avance.,"Application d'agenda (Google Agenda, Calendar, etc...), Fichier excel",,Application de prise de notes,,"Oui, je suis intéressé.e","Planification date, lieux, transports, logements, itinéraires, restauration et photos "
